"name","builds","builds_from","source_description","website","website_identity","website_looked_for","entity_type","founders","founders_source","dpiit_status","dpiit_stage","contact_email","contact_page","domain_registered","web_first_capture","build_tags","domain_tags","public_programmes","programme_count","publishing_organisations","hiring_roles","team_page","site_versions_2y","parked_homepage","papers_found","city","state","rdi_sector","rdi_subsector","rdi_project","placed_from","classifier_reasoning","tier","public_traces","on_record","on_record_basis","started","in_database","signals","page"
"Sal Biosciences Pvt Ltd","Light-pulsing technology that increases yields in fermentation-based drug and agricultural manufacturing.","the company's own homepage","Spectral Optimization Technology: A new innovation in biomanufacturing. This technology creates new IP assets in organic synthesis for drugs and helps improve production yields scalably","http://sal-bio.science/","verified","yes","company","Sumanth Vasista, Sharath Vasista","sine-iitb",,,"direct@sal-bio.science",,"2020-10-27",,"biological or chemical","health; agriculture & food; manufacturing & industry","BIRAC; incubation at SINE, IIT Bombay","2","1","","","","yes","",,,"4","Biomanufacturing & Bioengineering","Advanced fermentation technologies and downstream processing","description","Sal Biosciences' spectral optimization technology for organic synthesis and scalable production yield improvement directly addresses process optimization and downstream processing challenges in biomanufacturing.","C","3","2020-01-01","cohort","2020","2026-09-12","3","https://rohitrao.in/upstream/c/sal-biosciences"
"Renkube Pvt. Ltd.",,"","To solve this, Renkube has built a new type of transparent panel for Agri Photovoltaics that enables more sunlight to penetrate the ground underneath. Our preliminary simulation results have indicated upto 40 percent increase in flux. So now a farmer can lease his land to solar developers and earn extra income and need not be dependent solely on agricultural income that is subjected to vagaries of monsoon. Also, being double glass panels, they are more tolerant to humidity and are more durable. Also, growing crops underneath the panels is a dual benefit for plant and panels. For the crops it reduces water consumption due to indirect sunlight and for the solar panels due to the transpiration from plants that results in panel cooling and 5 percent more energy generation.","https://www.renkube.com/","verified","yes","company","Janardhana Vittalrao Kshirsagar, Lakshmi Santhanam, Balaji Lakshmikanth Bangolae","sine-iitb",,,"balaji@renkube.com",,"2018-06-11",,"hardware","agriculture & food; energy; water & environment","DST; MeitY; incubation at SINE, IIT Bombay","3","2","","https://www.renkube.com/team","","","4","Bengaluru","Karnataka","1","Next-Generation Solar Cells","Field efficiency enhancements","description","Renkube's transparent agri-photovoltaic panels improve solar field efficiency by increasing light penetration to crops below while boosting energy generation through panel cooling via plant transpiration.","C","3","2020-01-01","cohort","2020","2026-09-12","3","https://rohitrao.in/upstream/c/renkube"
"Logicboots Pvt Ltd",,"","Logicboots is developing Domestic & Medical Robots, we offer a range of services to cater to your robotics needs, including custom robotics design and development, robotics programming and maintenance, and robotics consulting. Our services are tailored to meet your requirements and help you achieve your robotics goals.","https://logicboots.com/","verified","yes","company",,"","recognised","Validation",,,"2020-11-12",,"hardware","health","DPIIT recognition; incubation at TIDES, IIT Roorkee","2","2","","","","","0","Central Delhi","Delhi","2","Intelligent Systems & Robotics","Human-robot interaction (HRI)","description","Logicboots develops domestic and medical robots with custom design and programming services, which directly aligns with HRI applications in non-manufacturing robotic systems.","C","3","2020-01-01","cohort",,"2026-09-12","3","https://rohitrao.in/upstream/c/logicboots"
"EmerTech Innovations Pvt Ltd","A platform for enterprises that uses AI and blockchain to assign digital identities to products, track them through supply chains, generate compliance documentation, and verify sustainability claims.","the company's own homepage","Agriculture supply chain management using Blockchain Technology.","http://emertech.io/","verified","yes","company","Gaurav Somwanshi, Ganesh Anantwar, Manish Verma","sine-iitb",,,"info@emertech.io","http://emertech.io/contact",,,"software","agriculture & food; manufacturing & industry","BIRAC; incubation at SINE, IIT Bombay","2","1","","","","","0",,,"5","Digital Agriculture (AgriTech)","Blockchain-based produce traceability and contract farming platforms","description","EmerTech's blockchain-based agriculture supply chain management directly matches the traceability and contract farming use case under Digital Agriculture.","C","3","2019-01-01","cohort","2019","2026-09-12","3","https://rohitrao.in/upstream/c/emertech-innovations"
"Qawach Bio Pvt Ltd","Rapid diagnostic test kits and reagents for point-of-care health screening that deliver results in 10-15 minutes for clinicians and patients.","the company's own homepage","Point of care diagnostics for acute kidney injury","http://qawachbio.com/","verified","yes","company","Rashmi Tambe","sine-iitb",,,"info@qawachbio.com","https://qawachbio.com/contact-us/","2018-05-10",,"hardware; biological or chemical","health","DST; incubation at SINE, IIT Bombay","2","1","1","https://qawachbio.com/a-milestone-worth-celebrating-our-journey-featured-in-founders-friday-by-birac/","","","0",,,"4","Medical Devices & Diagnostics","Indigenous diagnostic kits (point-of-care, rapid, multiplexed)","description","Qawach Bio develops point-of-care diagnostic kits for acute kidney injury detection, which directly matches the indigenous diagnostic kits category focused on rapid, accessible testing solutions.","C","3","2019-01-01","cohort","2019","2026-09-12","3","https://rohitrao.in/upstream/c/qawach-bio"
"Bellatrix Aerospace",,"","Orbital launch vehicles (rockets) and electric propulsion systems for satellites.","https://www.bellatrixaerospace.com/about.html","verified","yes","company","Rohan M Ganapathy, Yashash Karnamam","sine-iitb",,,,,"2015-02-02",,"hardware","space & aerospace","MeitY; incubation at FSID, IISc; incubation at SINE, IIT Bombay","3","2","","","","","4",,,"2","Space Technologies","Advanced and reusable launch vehicles, propulsion innovation (cryogenic / green propellants)","description","Bellatrix develops orbital launch vehicles and electric propulsion systems, directly matching the sub-sector's focus on advanced launch vehicles and propulsion innovation.","C","3","2019-01-01","cohort","2019","2026-09-12","3","https://rohitrao.in/upstream/c/bellatrix-aerospace"
"Astrome Technologies Pvt Ltd","Wireless backhaul radios, flat-panel satellite antennas, software-defined modems, and satellite transceivers for terrestrial and satellite communications networks.","the company's own homepage","About 50% of the world’s population is not connected to internet. The unconnected primarily reside in rural areas where fibre is too expensive to deploy. There is a need for alternate technology to complement fibre such that cost of internet delivery can be made economical. One of the way to solve this problem is high-throughput wireless backhaul and satellite communications. Developed the world’s Domain: Telecommunication - 5G.","https://www.astrome.co","verified","yes","company",,"",,,,"https://astrome.co/contact-us/",,"2016-02-05","hardware; software","space & aerospace","DST; incubation at FSID, IISc","2","2","0","https://astrome.co/our-team/","","","3","Bengaluru","Karnataka","2","Space Technologies","Satellite communications and high-throughput satellites","description","Astrome's high-throughput satellite communications technology for rural internet connectivity directly aligns with the satellite communications and high-throughput satellites project type under Space Technologies.","C","3","2019-01-01","cohort","2019","2026-09-12","3","https://rohitrao.in/upstream/c/astrome-technologies"
"Bylin Medtech Pvt. Ltd.",,"","Antimicrobial moisturizing oral bio-patch - A novel intervention for rehabilitation of dry mouth/ Xerostomia patients","https://www.bylinmedtech.com/","associated","yes","company","Dr Lini Basil","sine-iitb",,,"","","","","","health","BIRAC; DST; incubation at SINE, IIT Bombay","3","2","","","","","0","Thiruvananthapuram","Kerala","4","Medical Devices & Diagnostics","Advanced drug delivery systems and biocompatible materials","description","The antimicrobial oral bio-patch is a biocompatible material-based delivery system designed for therapeutic application in the oral cavity, addressing patient rehabilitation through localized drug/active agent delivery.","C","3","2019-01-01","cohort","2019","2026-09-12","3","https://rohitrao.in/upstream/c/bylin-medtech"
"EyeROV Technologies Pvt Ltd","AI-powered autonomous underwater ROVs named TUNA, SAGARA, and iBOAT ALPHA for marine inspections and surveys, plus EVAP, a data visualization and analytics platform for ROV-collected data.","the company's own homepage","Inability to do a visual inspection of ageing structures such as Dams, Bridges (river crossing bridges) and depending on divers for all operations (putting divers’ life to risk) has been a great cause for national and personal damages and losses of billions of rupees annually and many lives. Also, data collected are piled up without much use to anyone other than to suffice the authority. EyeRov TU Domain: Mechatronics.","https://www.eyerov.com","verified","yes","company","John T Mathai","venture-center",,,"info@eyerov.com",,"2016-11-03",,"hardware; software","manufacturing & industry","DST; incubation at Venture Center, Pune","2","2","0","","","","0","Kochi","Kerala","2","Intelligent Systems & Robotics","Modular robotic platforms","description","EyeRov develops an underwater robotic platform for autonomous visual inspection of infrastructure like dams and bridges, replacing manual diver operations—a core application of modular robotics for hazardous environments.","C","3","2019-01-01","cohort","2019","2026-09-12","3","https://rohitrao.in/upstream/c/irov-eyerov-technologies"
"Bionic Hope Pvt Ltd","Functional prosthetic limbs fitted through an integrated rehabilitation program for amputees in partnership with limb clinics, NGOs, and CSR foundations.","the company's own homepage","Robotic upper limb prosthesis","https://www.robobionics.in/","verified","yes","company","Llewellyn Dsa, Priyanka Kumari,Priteem Behera,Akshay Saxena,Anil Nair","sine-iitb",,,"contact@robobionics.in","https://robobionics.in/contact/","2016-10-11",,"hardware","health","MeitY; incubation at SINE, IIT Bombay","2","1","","","","","1",,,"4","Medical Devices & Diagnostics","Smart prosthetics and rehabilitation technologies","description","Bionic Hope develops robotic upper limb prosthetics, which directly aligns with smart prosthetics and rehabilitation technologies under medical devices.","C","3","2018-01-01","cohort","2018","2026-09-12","3","https://rohitrao.in/upstream/c/bionic-hope"
"Agnikul Cosmos Private Limited","Orbital-class launch vehicles powered by 3D-printed engines for custom satellite payloads.","the company's own homepage","Developing satellite launch vehicles for a payload capacity of up to 100 kgs to Low Earth Orbits . The launch vehicle is configurable, rocket engine being 3D printed in a single piece and can support a payload range of 30-100 Kg without impacting the commercial aspects of the missions.","http://www.agnikul.in","verified","yes","company","SRINATH RAVICHANDRAN , MOIN SPM & RAJU K","rtbi-iitm","recognised","Validation","payloadpeople@agnikul.in","https://agnikul.in/contact-us/","2017-08-13",,"hardware","space & aerospace","DPIIT recognition; incubation at IIT Madras Incubation Cell","2","2","4","","52","","6","Chennai","Tamil Nadu","2","Space Technologies","Advanced and reusable launch vehicles, propulsion innovation (cryogenic / green propellants)","description","Agnikul Cosmos develops configurable launch vehicles with 3D-printed rocket engines for small satellite payloads to LEO, directly aligning with advanced launch vehicle technology and innovative propulsion manufacturing.","C","3","2018-01-01","cohort",,"2026-09-12","3","https://rohitrao.in/upstream/c/agnikul-cosmos"
"Utopic Tech","Creasens, a point-of-care biosensor device that measures creatinine from a fingerprick blood sample to diagnose chronic kidney disease for patients.","the company's own homepage","2 million deaths occur every year due to acute kidney injury. It is Non symptomatic in early stages and if not detected on time, may lead to kidney failure. None of the existing devices for rapid creatinine monitoring are cost effective and majority of them do not meet required calibration to IDMS equivalent standard. Creasens- Point of care creatinine measurement device. It measures kidney functi Domain: Medtech.","https://www.utopictech.com","verified","yes","company","Mehul Baldwa","venture-center",,,,,"2019-10-15",,"hardware","health","DST; incubation at Venture Center, Pune","2","2","","","","","0","Pune","Maharashtra","4","Medical Devices & Diagnostics","Indigenous diagnostic kits (point-of-care, rapid, multiplexed)","description","Utopic Tech's Creasens is a point-of-care creatinine measurement device for rapid kidney function assessment, directly matching the indigenous diagnostic kits project type.","C","3","2018-01-01","cohort","2018","2026-09-12","3","https://rohitrao.in/upstream/c/utopic-tech"
"Adiuvo Diagnostics","IlluminateBIO, a handheld AI-powered device that uses autofluorescence imaging to detect bacterial load in wounds for clinicians.","the company's own homepage","Portable reagent-less screening device to detect Mycobacterium tuberculosis by leveraging the autofluorescence of the bacteria. The invention is aiming at a device, which is reagent less, portable to detect the biomolecule with specific intrinsic fluorescence characteristic, of the M.Tuberculosis which can identify the mycobacterium directly from the sputum sample rapidly specially in low resource Domain: MedTech.","https://www.adiuvodiagnostics.com","verified","yes","company","Geethanjali Radhakrishnan","venture-center",,,"contact@adiuvodiagnostics.com","https://www.adiuvodiagnostics.com/contact","2016-08-29",,"hardware; software; biological or chemical","health","DST; incubation at Venture Center, Pune","2","2","","","","","10","Chennai","Tamil Nadu","4","Medical Devices & Diagnostics","Indigenous diagnostic kits (point-of-care, rapid, multiplexed)","description","Adiuvo has developed a portable, reagent-less point-of-care diagnostic device for rapid TB detection directly from sputum samples in resource-limited settings, matching the indigenous diagnostic kit category.","C","3","2017-01-01","cohort","2017","2026-09-12","3","https://rohitrao.in/upstream/c/adiuvo-diagnostics"
"Algosurg Inc","AlgoSurg makes cloud-based AI software that automates surgical planning from medical images for implant manufacturers, robotic surgery systems, and 3D printing companies.","the company's own homepage","Conversion of 2D digital x ray images to 3D models for surgery planning","https://www.algosurg.com/","verified","yes","company","Mr.Amit Maurya, Dr. Vikas Karade","sine-iitb",,,,,"2015-06-08",,"hardware; software","health; manufacturing & industry","DST; incubation at SINE, IIT Bombay","2","1","","","","","3",,,"4","Medical Devices & Diagnostics","Image-guided and robotic surgical systems","description","Algosurg's conversion of 2D X-ray images to 3D surgical models directly supports image-guided surgery planning, a core capability within medical devices and diagnostics.","C","3","2016-01-01","cohort","2016","2026-09-12","3","https://rohitrao.in/upstream/c/algosurg-inc"
"Bharati Robotic Systems (India) Pvt Ltd",,"","Autonomous, cloud connected, industrial floor cleaning robots.","http://www.brsindia.com/","verified","yes","company","Debashis Das, Ashish Tupate","sine-iitb",,,,"http://www.brsindia.com/contact.html","2014-06-08",,"hardware; software","manufacturing & industry","MeitY; incubation at SINE, IIT Bombay","2","1","0","","","","",,,"2","Intelligent Systems & Robotics","Autonomous navigation and perception","description","Bharati Robotic Systems develops autonomous industrial floor cleaning robots with cloud connectivity, directly matching the autonomous navigation and perception capability required for intelligent robotic systems.","C","3","2016-01-01","cohort","2016","2026-09-12","3","https://rohitrao.in/upstream/c/bharati-robotic-systems-india"
"H2E Power Systems Pvt Ltd","Electrolysers for producing green hydrogen and syngas through co-electrolysis for industrial customers.","the company's own homepage","Solid oxide Fuel Cell technology for power generation","https://www.h2epower.net","verified","yes","company","Siddharth, amarnath Chakradeo","sine-iitb",,,,"https://www.h2epower.net/contact/","2013-03-27",,"hardware","energy; manufacturing & industry","MeitY; incubation at SINE, IIT Bombay","2","1","","https://www.h2epower.net/management-team/","","","",,,"1","Hydrogen Economy","Hydrogen conversion into energy (fuel cells, ICE)","description","H2E Power Systems develops solid oxide fuel cell technology that converts hydrogen into electrical power, directly matching the hydrogen conversion project type under the Hydrogen Economy sub-sector.","C","3","2016-01-01","cohort","2016","2026-09-12","3","https://rohitrao.in/upstream/c/h2e-power-systems"
"Transpact Enterprises Pvt Ltd","Therapeutic devices for vestibular and neurological rehabilitation, and cloud-based digital healthcare software, for people with disabilities.","the company's own homepage","Automated physiotherapy device to stimulate the vestibular system in children with cerebral palsy","https://transpact.in/","verified","yes","company","Aslam Khan,Anis Choudhary,Sudhir Bania(A) inst ip","sine-iitb",,,,"https://transpact.in/contact/","2015-03-02",,"hardware; software; biological or chemical","health","MeitY; incubation at SINE, IIT Bombay","2","1","0","https://transpact.in/management-team/","","","0",,,"4","Medical Devices & Diagnostics","Smart prosthetics and rehabilitation technologies","description","Transpact's automated physiotherapy device for vestibular system stimulation in cerebral palsy patients is a rehabilitation technology that uses mechanical automation to improve motor and balance outcomes in children.","C","3","2015-01-01","cohort","2015","2026-09-12","3","https://rohitrao.in/upstream/c/transpact-enterprises"
"Drona Aviation Pvt Ltd","Educational drone kits called Pluto that students build, fly, and program using block coding or Python, along with STEM curriculum and classroom activities.","the company's own homepage","Customisable and robust nano drone platform and DIY kit","https://www.dronaaviation.com/","verified","yes","company","Apurva Godbole, Dinesh Sain, Prasanna Shevare","sine-iitb",,,,"https://www.dronaaviation.com/contact","2014-09-08",,"hardware","space & aerospace; education","DST; incubation at SINE, IIT Bombay","2","1","","","","","0",,,"2","Intelligent Systems & Robotics","Modular robotic platforms","description","Drona Aviation's customisable nano drone platform with DIY kit capabilities directly aligns with modular robotic platforms that can be adapted for various applications.","C","3","2014-01-01","cohort","2014","2026-09-12","3","https://rohitrao.in/upstream/c/drona-aviation"
"A3 Remote Monitoring Technologies Pvt Ltd","A wireless remote patient monitoring system that allows doctors to manage and monitor patients from anywhere using smartphones with a range of 50+ clinical capabilities.","the company's own homepage","Remote patient monitoring with focus on cardiac cases","https://www.a3rmt.com/","verified","yes","company","Prof.U.B.Desai, Dr.Srikanth Parikh, Dr.Sunil D Lakdawala","sine-iitb",,,,"https://a3rmt.com/contact-us/","2009-12-19",,"","health","TDB; incubation at SINE, IIT Bombay","2","1","2","https://a3rmt.com/management/","","","3",,,"4","Medical Devices & Diagnostics","Wearable health monitors and implantable biosensors","description","A3's remote cardiac monitoring system is a wearable or implantable technology that continuously tracks patient health data and transmits it for clinical oversight, aligning with devices that bridge monitoring and diagnostic capabilities.","C","3","2008-01-01","cohort","2008","2026-09-12","3","https://rohitrao.in/upstream/c/a3-remote-monitoring-technologies"
"Sedemac Mechatronics Ltd",,"","Engine control systems for small engines and power trains","https://www.sedemac.com","verified","yes","company","Prof Shashikant Suryanarayan, Amit Dixit, Manish Sharma","sine-iitb",,,,,"2007-01-04",,"hardware","","TDB; incubation at SINE, IIT Bombay","2","1","","","","","2",,,"2","Semiconductors & Electronics","Electronic control systems","description","Sedemac's engine control systems for small engines and powertrains are electronic control systems, which is explicitly listed as a project type under the Semiconductors & Electronics sub-sector.","C","3","2008-01-01","cohort","2008","2026-09-12","3","https://rohitrao.in/upstream/c/sedemac-mechatronics"
"Vision Earthcare Pvt Ltd","Design, project management, commissioning and operation services for natural ecofriendly soil biotech technologies for various clients.","the company's own homepage","Soil Biotechnology based solutions for waste water and soil treatment.","https://www.visionearthcare.com","verified","yes","company","Dr. Chandrasekeran Shankar, Ms.Malini Shankar Prof.H.S.Shankar","sine-iitb",,,"contactus@visionearthcare.com",,"2004-07-09",,"","agriculture & food; water & environment","TDB; incubation at SINE, IIT Bombay","2","1","","","","","0",,,"4","Biotechnology & Life Sciences","Environmental biotechnology (bioremediation, wastewater treatment)","description","Vision Earthcare's soil biotechnology solutions for wastewater and soil treatment directly align with environmental biotechnology applications in bioremediation and wastewater treatment.","C","3","2005-01-01","cohort","2005","2026-09-12","3","https://rohitrao.in/upstream/c/vision-earthcare"
"Augle A.I. Pvt Ltd","Computer vision and AI software that gives industrial robots the ability to see and understand their environment for factory automation.","the company's own homepage","AI Vision Powered Robots for Welding, Surface Finishing & Material Handling","https://www.augle.ai/","verified","yes","company","Owais Chunawala","sine-iitb",,,"info@augle.ai","https://www.augle.ai/contact-8","2018-06-07",,"hardware; software","manufacturing & industry","DST; incubation at SINE, IIT Bombay","2","1","","","","","0",,,"2","Advanced Manufacturing & Robotics","Advanced automation / control systems for manufacturing assembly lines","description","Augle's AI vision-powered robots for welding, surface finishing, and material handling are direct applications of advanced automation and control systems deployed on manufacturing assembly lines.","C","4","2025-01-01","cohort","2025","2026-09-12","4","https://rohitrao.in/upstream/c/augle-a-i"
"Indrones Solutions Pvt Ltd","Drones and drone-based software solutions including orthophoto maps, 3D models, dimensional surveys, and multispectral imagery analysis for industries across India.","the company's own homepage","Indrones develops advanced UAVs for industrial and defense applications, including VTOL, long-endurance, and tactical drones. Our eigenspace software enables fleet management, mission planning, and AI analytics, ensuring scalable, high-performance drone solutions for enterprise markets","https://www.indrones.com","verified","yes","company","Pravin Prajapati","sine-iitb",,,,"https://www.indrones.com/general-contact-form.html","2015-11-24",,"hardware; software","space & aerospace; defence & security; manufacturing & industry","DST; incubation at SINE, IIT Bombay","2","1","","https://www.indrones.com/solutions-disaster-management.html","","","2",,,"2","Intelligent Systems & Robotics","Edge intelligence and swarm robotics","description","Indrones' fleet management software and multi-drone systems align with swarm robotics capabilities, while their autonomous navigation and AI analytics address edge intelligence requirements for coordinated UAV operations.","C","4","2025-01-01","cohort","2025","2026-09-12","4","https://rohitrao.in/upstream/c/indrones-solutions"
"Diagopreutic Pvt Ltd","Rapid diagnostic tests that identify the specific pathogen and antibiotic resistance in urinary tract infections and water contamination, for doctors and laboratories.","the company's own homepage","Profiling infectious pathogens through enzymatic activity–based diagnostics that reveal identity and antibiotic susceptibility with speed and precision.","https://diagopreutic.co.in/","verified","yes","company","Roshan Naik","venture-center","recognised","Validation",,"https://diagopreutic.co.in/contact-us/","2022-12-29",,"biological or chemical","health; water & environment","BIRAC; DPIIT recognition; incubation at Venture Center, Pune","3","3","","","","","0","South Goa","Goa","4","Medical Devices & Diagnostics","Platform technologies for infectious disease detection and management","description","Diagopreutic's enzymatic activity-based diagnostic platform for rapid pathogen identification and antibiotic susceptibility testing directly addresses infectious disease detection and management through an innovative diagnostic approach.","C","4","2025-01-01","cohort","2025","2026-09-12","4","https://rohitrao.in/upstream/c/diagopreutic"
"Papyrus Diagnostics","Papyrus MutaCheck Pro is a molecular diagnostic platform that identifies tuberculosis and detects drug-resistance mutations using existing PCR infrastructure without requiring new dedicated instruments.","the company's own homepage","Advancing rapid AMR diagnostics with low-cost, paper-based tests that identify drug-resistant UTIs in under an hour for faster, targeted treatment.","https://www.papyrusdx.com/","verified","yes","company","Venkata Subramanian Ramesan","venture-center",,,"venkat@papyrusdx.com",,"2022-01-28",,"hardware; biological or chemical","health","BIRAC; incubation at FSID, IISc; incubation at Venture Center, Pune","3","3","","","","","0",,,"4","Medical Devices & Diagnostics","Indigenous diagnostic kits (point-of-care, rapid, multiplexed)","description","Papyrus Diagnostics develops rapid, low-cost, paper-based diagnostic kits for point-of-care detection of drug-resistant UTIs, directly matching the indigenous diagnostic kit category under Medical Devices & Diagnostics.","C","4","2025-01-01","cohort","2025","2026-09-12","4","https://rohitrao.in/upstream/c/papyrus-diagnostics"
"Flash Cryogenics Pvt Ltd",,"","We are developing cryogenic refrigeration systems using a novel mixed refrigerant technology. Our unique blend of natural refrigerants enable us to reach low temperatures upto -200 °C using off the shelf air conditioning components.","https://www.flashcryogenics.com","verified","yes","company","Darshit Parmar, Prof. Milind Atrey, Varoon Jagdale, Toushan Kumar","sine-iitb",,,,,"2024-10-21",,"hardware","","DST; incubation at SINE, IIT Bombay","2","1","","","","","1",,,"1","Energy-Efficient Cooling","High efficiency air conditioners","description","Flash Cryogenics' mixed refrigerant technology for efficient cryogenic cooling directly aligns with developing high-efficiency air conditioning systems using novel refrigerant compositions.","C","4","2024-01-01","cohort","2024","2026-09-12","4","https://rohitrao.in/upstream/c/flash-cryogenics"
"Med Inno Tech Pvt Ltd","Transdermal drug delivery systems using microneedle technology and ultrasound for chronic pain management.","the company's own homepage","We are developing microneedle patches for chronic pain management, offering a painless, non-invasive, and targeted drug delivery solution. Our innovative technology enhances drug absorption, providing effective and long-lasting pain relief for conditions like arthritis.","https://www.med-inno-tec.com/","verified","yes","company","Dr. Vaishali Pawar, Prof. Rohit Srivastava","sine-iitb",,,,"https://www.med-inno-tec.com/get-in-touch","2025-02-03",,"biological or chemical","health","incubation at SINE, IIT Bombay","1","1","","https://www.med-inno-tec.com/our-team","","","0",,,"4","Medical Devices & Diagnostics","Advanced drug delivery systems and biocompatible materials","description","Med Inno Tech's microneedle patches represent an advanced drug delivery system designed to improve therapeutic efficacy and patient compliance for chronic pain management through enhanced transdermal absorption.","C","4","2024-01-01","cohort","2024","2026-09-12","4","https://rohitrao.in/upstream/c/med-inno-tech"
"BAAS Technologies Pvt Ltd",,"","Developing a launch vehicle for both sub-orbital and orbital missions, our goal is to serve the orbital market while also offering reliable launch services for sub-orbital missions using sounding rockets.","https://baas.co.in/","verified","yes","company","Tanmay Kanmahale, Prashant Patil, Swayam Sonar, Shriniwas Hase, Atharva Pingale","sine-iitb",,,,"https://baas.co.in/company/contact-us.html","2024-02-18",,"hardware","space & aerospace","DST; incubation at SINE, IIT Bombay","2","1","1","","","","0",,,"2","Space Technologies","Advanced and reusable launch vehicles, propulsion innovation (cryogenic / green propellants)","description","BAAS Technologies develops launch vehicles for sub-orbital and orbital missions, which directly aligns with the rocket launcher systems and advanced launch vehicle capabilities under Space Technologies.","C","4","2024-01-01","cohort","2024","2026-09-12","4","https://rohitrao.in/upstream/c/baas-technologies"
"KaviRISE Technologies Pvt Ltd",,"","At KaviRISE Technologies, we develop AI-driven, Made-in-India wireless charging solutions for industrial robots and micromobility. Our core expertise enhances safety, efficiency, and sustainability, cutting operational costs by nearly 30% while perfectly meeting autonomous charging needs.","https://www.linkedin.com/company/kavirise-technologies/","discovered","yes","company","Kavita Kiran Prasad, Rangarajan","sine-iitb",,,"","","","","hardware; software","energy; manufacturing & industry","MeitY; incubation at SINE, IIT Bombay","2","1","","","","","0",,,"2","Intelligent Systems & Robotics","Modular robotic platforms","description","KaviRISE develops AI-driven wireless charging solutions specifically for industrial robots and micromobility, which directly supports the autonomous operation and modularity of robotic platforms.","C","4","2024-01-01","cohort","2024","2026-09-12","4","https://rohitrao.in/upstream/c/kavirise-technologies"
"Edhaa Innovations Pvt Ltd","BIO-CHEQ, a portable diagnostic device for lab-quality testing in healthcare settings, and ON-POINT, a screening device for detecting high-risk pregnancy conditions.","the company's own homepage","Our technological innovation is a portable device called ON-POINT, which provides a convenient, patient side option to accurately, test various clinically important biomarkers in a quick, easy and inexpensive way, by minimally trained individuals.","https://www.edhaainnovations.com/","verified","yes","company","Nisha Yadav, Saugandha Das","sine-iitb",,,"info@edhaainnovations.com","https://www.edhaainnovations.com/contactus","2020-06-06",,"hardware","health","DST; incubation at SINE, IIT Bombay","2","1","","","","","2",,,"4","Medical Devices & Diagnostics","Indigenous diagnostic kits (point-of-care, rapid, multiplexed)","description","ON-POINT is a portable point-of-care diagnostic device for rapid biomarker testing that can be operated by minimally trained individuals, matching the indigenous diagnostic kit category.","C","4","2023-01-01","cohort","2023","2026-09-12","4","https://rohitrao.in/upstream/c/edhaa-innovations"
"Magnimous Info Tech Private Limited","Wearable and point-of-care biosensors for healthcare and food diagnostics that interface with mobile and cloud technologies.","the company's own homepage","Vitamin D Rapid test capable of providing rapid, accurate point-of-care results with a single finger prick used to monitor deficiency and supplementation recovery.","https://www.magnimous.com/","verified","yes","company","Kumudha A, Dr Selvakuma","sine-iitb",,,"support@magnimous.com","https://www.magnimous.com/contact.html","2018-07-08",,"hardware; software","health; agriculture & food","BIRAC; MeitY; incubation at SINE, IIT Bombay","3","2","","","","","0",,,"4","Medical Devices & Diagnostics","Indigenous diagnostic kits (point-of-care, rapid, multiplexed)","description","Magnimous's Vitamin D rapid test with single finger-prick point-of-care capability directly matches the indigenous diagnostic kits project type focused on rapid testing.","C","4","2023-01-01","cohort","2023","2026-09-12","4","https://rohitrao.in/upstream/c/magnimous-info-tech"
"UrjanovaC Pvt Ltd",,"","Sustainable, practical, & scalable technology for CO2 capture through an integrated approach. They use omnipresent water & abundant material-based catalyst for rapid CO2 capture.",,,"yes","company","Prof. Vikram Vishal, Prof. Arnab Dutta, Dr.Suprotim Ganguly, Dr. Piyali Majumder,Ms. Koyel Das","sine-iitb",,,"","","","","biological or chemical","water & environment","DST; MeitY; incubation at SINE, IIT Bombay; incubation at Venture Center, Pune","4","2","","","","","8",,,"1","Carbon Capture, Utilization & Storage (CCUS)","Low-cost CO2 capture, mineralization, bioconversion, enhanced oil recovery","description","Urjanovac's water and catalyst-based technology directly addresses rapid, low-cost CO2 capture, the core capability listed under CCUS sub-sector 1.6.","C","4","2022-01-01","cohort","2022","2026-09-12","4","https://rohitrao.in/upstream/c/urjanovac"
"Bramhansh Technologies Pvt Ltd",,"","A mental health care device for Migraine and sleep .","https://bramhansh.com/","verified","yes","company","Jaideep Tiwari, K Kartik","sine-iitb",,,,,"2021-08-01",,"hardware","health","BIRAC; MeitY; incubation at SINE, IIT Bombay","3","1","","","","","0",,,"4","Medical Devices & Diagnostics","Wearable health monitors and implantable biosensors","description","Bramhansh's mental health care device for migraine and sleep management is a wearable or implantable therapeutic device addressing neurological conditions, fitting the wearable health monitors category under medical devices.","C","4","2022-01-01","cohort","2022","2026-09-12","4","https://rohitrao.in/upstream/c/bramhansh-technologies"
